"","TVType","ProgramType","Month","DayPart","SpotName","Oldest","Old","Base","RR","CPM","comp"
"190","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",88,182,223515,0.0000227272727272727,25.0595454545455,0.000393709594434378
"191","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",120,222,241516,0.0000583333333333333,13.78275,0.000496861491578198
"192","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",159,257,283869,0.0000817610062893082,10.4020754716981,0.000560117518996439
"193","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",106,186,212431,0.0000660377358490566,15.6031132075472,0.000498985552956019
"194","CBL","Western","July, 2017","Day","HABD REV 120 TEST",93,182,206033,0.0000860215053763441,17.7841935483871,0.000451384001591978
"195","CBL","Western","July, 2017","Day","HABD REV 120 TEST",126,259,297599,0.0000793650793650794,13.1264285714286,0.00042338851945067
"196","CBL","Western","July, 2017","Day","HEAR A BETTER DAY 60",120,182,215775,0.0000333333333333333,7.65708333333333,0.000556134862704206
"197","CBL","Western","July, 2017","Day","HABD 60 TEST",119,200,220478,0.0000168067226890756,7.72142857142857,0.000539736390932429
"198","CBL","Western","July, 2017","Day","HABD 60 TEST",149,274,295755,0.0000402684563758389,6.16677852348993,0.000503795371168704
"199","CBL","Western","July, 2017","Day","HABD 60 TEST",133,234,250475,0.0000300751879699248,6.90864661654135,0.000530991116877932
"200","CBL","Western","August, 2017","Day","HABD REV 120 TEST",124,184,216873,0.0000564516129032258,13.3381451612903,0.000571763197816233
"201","CBL","Western","August, 2017","Day","HABD REV 120 TEST",132,221,236269,0.000113636363636364,12.5297727272727,0.000558685227431445
"202","CBL","Western","August, 2017","Day","HABD REV 120 TEST",125,216,258333,0.00008,13.23144,0.000483871592092377
"203","CBL","Western","August, 2017","Day","HABD REV 120 TEST",122,186,207424,0.0000819672131147541,13.5568032786885,0.000588167232335699
"207","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",13,50,63384,0.000230769230769231,49.4765384615385,0.000205099078631831
"208","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",20,46,72759,0.00015,34.456875,0.000274880083563545
"209","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",52,120,144305,0.000192307692307692,13.2526442307692,0.00036034787429403
"210","CBL","Crime Drama","December, 2016","Day","HEAR A BTR DAY 120",127,224,273078,0.000047244094488189,23.152125984252,0.000465068588461905
"211","CBL","Crime Drama","December, 2016","Day","HEAR A BTR DAY 120",170,287,326733,0.000135294117647059,17.296,0.00052030251000052
"212","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",192,322,364793,0.000046875,18.1855729166667,0.00052632588892879
"213","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",89,180,205227,0.000101123595505618,17.5510674157303,0.000433666135547467
"214","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",99,208,244432,0.0000606060606060606,15.7782323232323,0.000405020619231525
"215","CBL","Western","February, 2017","Prime","HEAR A BTR DAY 120",246,437,510841,0.000040650406504065,7.09680894308943,0.000481558841204993
"216","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",107,181,187997,0.0000654205607476635,14.5985514018692,0.000569158018479018
"217","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",144,248,272328,0.0000416666666666667,10.8475347222222,0.000528774125319468
"218","CBL","Western","April, 2017","Prime","HEAR A BTR DAY 120",227,379,443981,0.0000352422907488987,7.69081497797357,0.000511283140494751
"219","CBL","Western","May, 2017","Prime","HEAR A BTR DAY 120",181,323,357046,0.0000773480662983425,9.64538674033149,0.000506937481444968
"220","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",146,323,360709,0.0000616438356164384,12.5869863013699,0.000404758406360806
"221","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",163,277,291627,0.0000429447852760736,11.2742331288344,0.000558933157766599
"222","CBL","Western","June, 2017","Day","HEAR A BTR DAY 120",122,201,225537,0.0000573770491803279,13.5568032786885,0.000540931199758798
"223","CBL","Western","July, 2017","Day","HABD REV 120 TEST",165,312,346452,0.0000484848484848485,11.1375757575758,0.000476256451110111
"224","CBL","Western","July, 2017","Prime","HABD REV 120 TEST",267,478,535227,0.000048689138576779,6.88277153558052,0.000498853757377711
"225","CBL","Western","July, 2017","Day","HABD REV 120 TEST",197,363,385665,0.0000253807106598985,9.32842639593909,0.000510806010397625
"226","CBL","Western","July, 2017","Prime","HABD REV 120 TEST",181,321,358798,0.0000718232044198895,10.1530386740331,0.000504462120747607
"227","CBL","Western","July, 2017","Day","HEAR A BETTER DAY 60",156,233,250612,0.0000320512820512821,5.8900641025641,0.000622476178315484
"228","CBL","Western","July, 2017","Prime","HABD REV 120 TEST",181,302,329231,0.0000497237569060774,10.1530386740331,0.000549765969790208
"229","CBL","Western","July, 2017","Day","HABD 60 TEST",131,236,258657,0.0000305343511450382,7.01412213740458,0.000506462226036798
"230","CBL","Western","July, 2017","Day","HABD REV 120 TEST",128,226,270512,0.00003125,14.35703125,0.000473176790678417
"231","CBL","Western","July, 2017","Prime","HABD REV 120 TEST",185,314,331002,0.0000162162162162162,9.93351351351351,0.000558909009613235
"232","CBL","Western","July, 2017","Day","HABD 60 TEST",136,225,254059,0.0000220588235294118,6.75625,0.000535308727500305
"233","CBL","Western","August, 2017","Day","HABD REV 120 TEST",151,250,272116,0.0000397350993377483,12.1701986754967,0.000554910405856326
"234","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",259,514,625095,0.0001003861003861,14.9002702702703,0.000414337020772843
"235","DN","Western","February, 2017","Day","HEAR A BTR DAY 120",240,514,597273,0.0000875,16.079875,0.000401826300535936
"236","DN","Western","February, 2017","Day","HEAR A BTR DAY 120",289,547,643671,0.0000899653979238754,13.3535294117647,0.000448987137839051
"237","DN","Western","February, 2017","Day","HEAR A BTR DAY 120",313,595,646789,0.0000798722044728435,12.3296166134185,0.000483929071149942
"238","DN","Western","March, 2017","Day","HEAR A BTR DAY 120",280,539,629185,0.0000964285714285714,13.78275,0.000445020145108354
"239","DN","Western","March, 2017","Day","HEAR A BTR DAY 120",370,662,756743,0.0000621621621621622,10.4301891891892,0.000488937459613105
"240","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",369,656,741699,0.000046070460704607,12.9485636856369,0.000497506400844547
"241","DN","Western","April, 2017","WE","HEAR A BTR DAY 120",383,716,798128,0.0000835509138381201,9.59634464751958,0.000479872902592065
"242","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",311,604,664209,0.0000932475884244373,12.4089067524116,0.000468226115575068
