"","TVType","ProgramType","Month","DayPart","SpotName","Oldest","Old","Base","RR","CPM","comp"
"465","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",151,293,329681,0.0000198675496688742,7.91062913907285,0.000458018508800932
"466","DN","Western","April, 2017","WE","HEAR A BTR DAY 120",136,258,286043,0.0000220588235294118,8.783125,0.000475452991333471
"467","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",70,173,198164,0.0000857142857142857,19.6896428571429,0.000353242768615894
"468","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",102,183,233157,0.00000980392156862745,13.5125,0.000437473462087778
"469","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",103,187,211663,0.0000388349514563107,13.3813106796117,0.000486622602911232
"470","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",79,194,208060,0.0000379746835443038,17.4465189873418,0.000379698163991156
"471","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",80,186,204294,0.0001,17.2284375,0.000391592508835306
"472","DN","Western","June, 2017","Day","HABD REV 120 TEST",143,187,200896,0.00000699300699300699,8.35318181818182,0.000711811086333227
"473","DN","Western","June, 2017","Day","HABD REV 120 TEST",139,200,217520,0.0000503597122302158,8.59356115107914,0.000639021699154101
"474","DN","Western","June, 2017","Day","HABD REV 120 TEST",68,131,148502,0.0000588235294117647,17.56625,0.000457906290824366
"475","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",97,164,194172,0.0000103092783505155,12.3144845360825,0.000499557093710731
"476","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",129,214,246018,0.00010077519379845,9.25972868217054,0.000524351876691949
"477","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",138,205,219948,0.0000144927536231884,8.65583333333333,0.00062742102678815
"478","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",68,162,187825,0.0000441176470588235,16.215,0.000362039132170904
"479","DN","Western","July, 2017","Day","HABD REV 120 TEST",38,123,145821,0.000105263157894737,29.0163157894737,0.000260593467333237
"480","DN","Western","July, 2017","Day","HABD REV 120 TEST",150,249,284873,0.00008,7.3508,0.000526550427734464
"481","DN","Western","July, 2017","Day","HABD REV 120 TEST",112,165,182069,0.0000982142857142857,9.84482142857143,0.000615151398645568
"482","DN","Western","July, 2017","Day","HABD REV 120 TEST",73,153,182663,0.000123287671232877,15.1043835616438,0.000399643058528547
"483","DN","Western","July, 2017","Day","HABD 60 TEST",112,182,207312,0.00000892857142857143,4.92241071428571,0.000540248514316586
"484","DN","Western","July, 2017","Day","HABD 60 TEST",111,194,222008,0.0000990990990990991,4.96675675675676,0.000499981982631257
"485","DN","Western","July, 2017","Day","HABD 60 TEST",129,209,226569,0.0000232558139534884,4.27372093023256,0.000569362975517392
"486","DN","Western","July, 2017","Day","HABD 60 TEST",93,166,182183,0.000021505376344086,5.92806451612903,0.000510475730446858
"487","DN","Western","July, 2017","Day","HEAR A BETTER DAY 60",98,179,199040,0.0000102040816326531,5.62561224489796,0.000492363344051447
"488","DN","Western","July, 2017","Day","HEAR A BETTER DAY 60",108,180,221983,0.0000555555555555556,5.10472222222222,0.000486523742809134
"489","DN","Western","July, 2017","Day","HABD 60 TEST",81,157,173843,0.000037037037037037,6.8062962962963,0.000465937656391112
"491","DN","Western","July, 2017","Day","HEAR A BETTER DAY 60",73,160,180974,0.0000136986301369863,7.55219178082192,0.000403372860189862
"492","DN","Western","July, 2017","Day","HEAR A BETTER DAY 60",81,166,188154,0.0000123456790123457,6.8062962962963,0.000430498421505788
"493","DN","Western","July, 2017","Day","HABD 60 TEST",48,134,150080,0.0000416666666666667,11.485625,0.000319829424307036
"495","DN","Western","August, 2017","Day","HABD REV 120 TEST",84,149,166827,0.0000714285714285714,13.1264285714286,0.000503515617975508
"496","DN","Western","August, 2017","Day","HABD REV 120 TEST",89,179,206417,0.0000224719101123596,12.3889887640449,0.000431166037681005
"497","DN","Western","August, 2017","Day","HABD REV 120 TEST",78,125,133141,0.0000897435897435897,14.1361538461538,0.000585845081530107
"500","DN","Movie","July, 2017","WE","HABD REV 120 TEST",65,152,179001,0.0000923076923076923,16.9633846153846,0.000363126462980654
"501","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",83,185,201504,0.0000963855421686747,16.6057228915663,0.000411902493250754
"502","DN","Western","December, 2016","Day","HEAR A BTR DAY 120",53,153,228365,0.000188679245283019,17.3367924528302,0.000232084601405644
"503","DN","Crime Drama","December, 2016","Day","HEAR A BTR DAY 120",219,390,445537,0.0000958904109589041,14.6848173515982,0.000491541667695388
"504","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",187,345,396297,0.0000481283422459893,19.6545454545455,0.000471868320981486
"505","SY","Court","January, 2017","Day","HEAR A BETTER DAY 60",591,993,1516230,0.0000524534686971235,27.9852791878173,0.000389782552778932
"506","SY","Court","January, 2017","Day","HEAR A BETTER DAY 60",458,916,1397009,0.000037117903930131,36.1120087336244,0.000327843270873702
"507","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",12,65,78389,0.000166666666666667,53.5995833333333,0.000153082702930258
"508","CBL","Western","March, 2017","Prime","HEAR A BTR DAY 120",189,340,414631,0.0000317460317460317,9.2371164021164,0.000455826988334206
"509","CBL","Western","March, 2017","Prime","HEAR A BTR DAY 120",226,370,424194,0.0000309734513274336,7.72484513274336,0.000532775098186207
"510","CBL","Western","March, 2017","Prime","HEAR A BTR DAY 120",217,381,429984,0.0000506912442396313,8.04523041474654,0.000504669941207115
"511","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",126,312,356732,0.0000476190476190476,9.48019841269841,0.000353206328560376
"512","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",143,373,414111,0.0000629370629370629,8.35318181818182,0.000345318042746993
"513","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",141,219,244972,0.0000567375886524823,8.47166666666667,0.000575575984194112
"515","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",66,111,133937,0.0000454545454545455,10.4414772727273,0.000492768988404996
"516","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",68,98,123252,0.0000294117647058824,10.134375,0.000551715185149125
"517","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",55,109,127450,0.0000545454545454545,12.5297727272727,0.000431541781090624
"518","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",63,124,149193,0.0000158730158730159,10.9386904761905,0.000422271822404536
"519","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",46,117,138934,0.000195652173913043,14.98125,0.000331092461168612
"521","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",71,157,173848,0.000028169014084507,9.70616197183099,0.000408402742625742
"523","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",35,64,72852,0.0000857142857142857,19.6896428571429,0.000480426069291166
"524","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",45,129,138526,0.000111111111111111,15.3141666666667,0.000324848764852807
"525","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",52,121,142267,0.0000961538461538462,13.2526442307692,0.000365509921485657
"526","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",39,63,71311,0.0000256410256410256,17.6701923076923,0.000546900197725456
"527","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",74,137,148076,0.0000135135135135135,9.31266891891892,0.000499743375023636
"528","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",55,128,163313,0.0000363636363636364,12.5297727272727,0.000336776619130137
"530","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",35,82,108991,0.000114285714285714,19.6896428571429,0.000321127432540301
"531","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",41,103,113679,0.000024390243902439,16.8082317073171,0.000360664678612585
"532","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",78,154,170656,0.0000512820512820513,8.83509615384615,0.000457059816238515
"533","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",74,131,157176,0.0000540540540540541,9.31266891891892,0.000470809792843691
"534","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",72,111,149835,0.0000277777777777778,9.57135416666667,0.000480528581439584
"535","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",35,79,85129,0.0000285714285714286,21.0022857142857,0.000411140739348518
"536","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",39,85,109184,0.0000256410256410256,18.8482051282051,0.000357195193434936
"537","DN","Movie","January, 2017","Day","HEAR A BTR DAY 120",13,44,94619,0.000153846153846154,49.4765384615385,0.000137393124002579
"539","DN","Movie","January, 2017","Day","HEAR A BTR DAY 120",55,151,172075,0.0000909090909090909,20.0476363636364,0.000319628069155891
"540","DN","Movie","January, 2017","Day","HEAR A BTR DAY 120",78,239,296793,0.000192307692307692,14.1361538461538,0.000262809432837028
"541","DN","Movie","December, 2016","Day","HEAR A BTR DAY 120",13,56,97762,0.0000769230769230769,42.4084615384615,0.00013297600294593
"542","CBL","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",130,296,455181,0.0000615384615384615,57.9582307692308,0.000285600673138817
"544","DN","Movie","January, 2017","Day","HEAR A BTR DAY 120",32,80,100057,0.00003125,20.09984375,0.000319817703908772
"545","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",21,44,65843,0.00019047619047619,30.6283333333333,0.000318940510001063
"546","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",29,54,87593,0.000137931034482759,23.7633620689655,0.000331076684209925
"547","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",34,87,104330,0.000117647058823529,20.26875,0.000325889006038532
"548","CBL","Movie","January, 2017","Day","HEAR A BTR DAY 120",28,49,73638,0.0000357142857142857,55.7873214285714,0.000380238463836606
"549","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",30,70,89850,0.000133333333333333,21.4398333333333,0.000333889816360601
"554","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",14,65,105537,0.000571428571428571,45.9425,0.000132654898282119
"555","DN","Military","January, 2017","Day","HEAR A BTR DAY 120",116,228,259569,0.0000862068965517241,9.50534482758621,0.000446894659994067
"556","DN","Military","January, 2017","Day","HEAR A BTR DAY 120",129,246,286093,0.0000542635658914729,8.54744186046512,0.00045090232896296
"557","DN","Movie","July, 2017","WE","HABD REV 120 TEST",64,137,179724,0.00009375,17.2284375,0.000356101577975117
"558","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",85,192,217450,0.0000470588235294118,16.215,0.000390894458496206
"559","DN","Military","December, 2016","Day","HEAR A BTR DAY 120",68,163,195002,0.000161764705882353,13.5125,0.000348714372160286
"560","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",23,60,117214,0.000173913043478261,27.965,0.00019622229426519
"561","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",26,42,60922,0.000115384615384615,24.7382692307692,0.000426775220774105
"562","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",11,51,73132,0.0000909090909090909,58.4722727272727,0.000150412951922551
"563","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",104,143,213144,0.0000865384615384615,19.4372115384615,0.000487933040573509
"564","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",38,60,98477,0.000157894736842105,53.1965789473684,0.00038587690526722
"565","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",61,85,135237,0.0000983606557377049,33.1388524590164,0.0004510599909788
"566","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",54,86,102877,0.000148148148148148,37.4346296296296,0.000524898665396541
"567","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",35,49,91519,0.000114285714285714,49.8804285714286,0.000382434248625968
"568","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",52,83,126740,0.0000769230769230769,33.5733653846154,0.000410288780179896
"569","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",65,148,207319,0.0000769230769230769,26.8586923076923,0.00031352649781255
"570","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",65,101,147811,0.0000769230769230769,26.8586923076923,0.000439750762798439
"571","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",37,113,188569,0.000216216216216216,47.1841891891892,0.000196214648218954
"572","CBL","News","March, 2017","WE","HEAR A BTR DAY 120",541,794,937772,0.000105360443622921,20.04146025878,0.000576899288952965
"573","CBL","Lifestyle","July, 2017","Day","HABD REV 120 TEST",29,54,73016,0.000172413793103448,23.7633620689655,0.000397173222307439
"574","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",20,71,109490,0.00015,32.15975,0.000182665083569276
"575","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",38,74,88542,0.0000526315789473684,18.1351973684211,0.000429174854871135
"576","DN","Comedy","March, 2017","Day","HEAR A BTR DAY 120",16,43,61571,0.0000625,40.1996875,0.000259862597651492
"577","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",50,106,132860,0.00014,23.8901,0.000376335992774349
"578","DN","Western","July, 2017","Day","HABD REV 120 TEST",64,153,179392,0.000078125,17.2284375,0.000356760613628255
"579","CBL","Lifestyle","March, 2017","Day","HEAR A BTR DAY 120",23,63,113998,0.000217391304347826,29.9625,0.000201757925577642
"581","CBL","Movie","July, 2017","Day","HABD REV 120 TEST",4,10,42613,0.00075,137.8275,0.0000938680684298219
"582","DN","Western","June, 2017","Day","HABD REV 120 TEST",76,130,143219,0.000105263157894737,15.7171710526316,0.000530655848735154
"583","CBL","Western","July, 2017","Day","HABD REV 120 TEST",83,174,197635,0.000192771084337349,19.9268674698795,0.000419966099122119
"584","CBL","Western","July, 2017","Day","HABD REV 120 TEST",138,231,259883,0.000108695652173913,11.985,0.000531008184452234
"585","CBL","Western","July, 2017","Day","HABD REV 120 TEST",141,278,306177,0.0000780141843971631,11.73,0.000460517935703858
"588","CBL","Western","July, 2017","Day","HABD 60 TEST",168,294,338194,0.0000119047619047619,5.46934523809524,0.000496756299638669
"589","CBL","Western","July, 2017","Day","HABD 60 TEST",119,186,198798,0.0000252100840336134,7.72142857142857,0.000598597571404139
"590","CBL","Western","August, 2017","Day","HABD REV 120 TEST",106,179,203545,0.000113207547169811,15.6031132075472,0.000520769363040114
"591","CBL","Western","August, 2017","Day","HABD REV 120 TEST",145,221,254012,0.000096551724137931,11.4064137931034,0.000570839172952459
"592","CBL","Western","August, 2017","Day","HABD REV 120 TEST",140,249,274535,0.0000857142857142857,11.8137857142857,0.000509953193581875
"594","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",372,660,754499,0.0000376344086021505,10.3741129032258,0.000493042402972038
"595","DN","Western","February, 2017","Day","HEAR A BTR DAY 120",345,616,694059,0.0000666666666666667,11.186,0.000497075897005874
"596","DN","Western","March, 2017","WE","HEAR A BTR DAY 120",397,732,827230,0.0000478589420654912,9.25793450881612,0.000479914896703456
"597","DN","Western","March, 2017","WE","HEAR A BTR DAY 120",367,745,863369,0.0000408719346049046,10.0147138964578,0.000425078963919251
"598","DN","Western","March, 2017","Day","HEAR A BTR DAY 120",366,647,696504,0.0000846994535519126,10.5441803278689,0.000525481547844664
"599","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",289,484,524690,0.0000726643598615917,16.5329411764706,0.00055080142560369
"600","DN","Western","April, 2017","Day","HEAR A BTR DAY 120",303,580,651719,0.0000825082508250825,12.7365346534653,0.000464924300196864
"601","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",343,579,655543,0.0000962099125364432,11.2512244897959,0.000523230360174695
"602","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",277,530,610447,0.0000938628158844765,13.9320216606498,0.000453765846994088
"603","DN","Western","May, 2017","Day","HEAR A BTR DAY 120",313,665,755353,0.0000830670926517572,15.4120207667732,0.000414375795158025
"604","DN","Western","June, 2017","WE","HEAR A BTR DAY 120",421,838,918348,0.0000475059382422803,11.4583432304038,0.000458431879853824
"605","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",314,594,660581,0.0000318471337579618,15.2166242038217,0.000475339133278129
"606","DN","Western","July, 2017","WE","HEAR A BTR DAY 120",363,720,862125,0.0000303030303030303,11.3907024793388,0.000421052631578947
"607","DN","Western","July, 2017","Day","HABD REV 120 TEST",400,655,779176,0.0000625,11.94505,0.000513362834584227
"608","DN","Western","July, 2017","Day","HABD REV 120 TEST",362,683,731580,0.0000386740331491713,13.1989502762431,0.000494819431914486
"609","DN","Western","July, 2017","Day","HABD REV 120 TEST",490,778,896730,0.0000387755102040816,9.7510612244898,0.000546429806073177
"610","DN","Western","July, 2017","Day","HABD REV 120 TEST",425,753,874272,0.00004,11.2424,0.000486118736503056
"611","DN","Western","July, 2017","Day","HABD REV 120 TEST",334,528,587099,0.0000778443113772455,14.3054491017964,0.000568898942086428
"612","DN","Western","August, 2017","Day","HABD REV 120 TEST",337,618,683202,0.0000830860534124629,14.1781008902077,0.000493265534936959
"613","DN","Western","August, 2017","WE","HABD REV 120 TEST",402,799,897229,0.0000348258706467662,10.2856343283582,0.000448046150982637
"614","DN","Western","August, 2017","WE","HABD REV 120 TEST",333,707,814656,0.000048048048048048,12.4168918918919,0.000408761489512138
"616","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",174,381,433976,0.0000977011494252874,18.4826149425287,0.000400943830995262
"617","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",291,458,529486,0.0000206185567010309,11.0514604810997,0.000549589601991365
"618","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",145,281,344530,0.000103448275862069,26.6149655172414,0.000420863204945868
"619","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",122,211,239043,0.0000163934426229508,31.6325409836066,0.000510368427437741
"620","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",154,286,330603,0.0000779220779220779,25.0595454545455,0.000465815494717229
"621","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",176,326,384571,0.0000738636363636364,21.9271022727273,0.000457652813134636
"622","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",79,171,216351,0.000126582278481013,40.7085443037975,0.000365147376254327
"623","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",214,392,430986,0.0000654205607476635,15.0279205607477,0.000496535850352448
"624","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",109,226,266752,0.000055045871559633,29.5043577981651,0.00040861924184261
"625","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",122,244,288219,0.0000327868852459016,26.3604508196721,0.000423289234922056
"626","CBL","Western","March, 2017","Day","HEAR A BTR DAY 120",173,339,394312,0.0000578034682080925,18.589450867052,0.00043873886668425
"627","CBL","Western","April, 2017","Day","HEAR A BTR DAY 120",129,276,310186,0.0000542635658914729,24.9300387596899,0.000415879504555331
"628","CBL","Western","April, 2017","Day","HEAR A BTR DAY 120",221,386,417443,0.0000769230769230769,14.5519230769231,0.000529413596586839
"629","CBL","Western","May, 2017","Day","HEAR A BTR DAY 120",100,253,278129,0.00008,36.754,0.000359545390807863
"630","CBL","Western","May, 2017","Day","HEAR A BTR DAY 120",89,192,209437,0.0000674157303370786,41.2966292134832,0.000424948791283298
"631","CBL","Western","May, 2017","Day","HEAR A BTR DAY 120",121,233,258175,0.0000661157024793388,30.3752066115702,0.000468674348794422
"632","CBL","Western","May, 2017","Day","HEAR A BTR DAY 120",72,176,217553,0.0000555555555555556,51.0472222222222,0.000330953836536384
"633","CBL","Western","May, 2017","Day","HEAR A BTR DAY 120",137,247,258282,0.000145985401459854,26.8277372262774,0.000530427981818323
"634","DN","Military","January, 2017","Day","HEAR A BTR DAY 120",80,194,205365,0.000025,13.78275,0.000389550312857595
"635","CBL","News","March, 2017","Day","HEAR A BTR DAY 120",846,1319,1535097,0.0000650118203309693,16.8347222222222,0.000551105239603751
"636","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",103,210,270090,0.000087378640776699,33.8993203883495,0.000381354363360361
"637","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",84,137,175929,0.000107142857142857,41.5670238095238,0.000477465341131934
"638","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",89,131,140523,0.0000561797752808989,15.4862359550562,0.000633348277506173
"639","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",73,134,140181,0.0000547945205479452,18.8804794520548,0.000520755309207382
"640","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",47,133,136739,0.0000638297872340425,33.235,0.000343720518652323
"641","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",49,134,149834,0.000142857142857143,31.8784693877551,0.000327028578293311
"642","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",62,129,136130,0.0000161290322580645,25.1942741935484,0.000455446999191949
"643","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",82,165,173821,0.0000365853658536585,19.0493292682927,0.000471749673514708
"644","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",60,120,125368,0.00005,26.0340833333333,0.000478591028013528
"645","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",83,166,175795,0.0000240963855421687,18.8198192771084,0.000472140845871612
"646","CBL","Military","January, 2017","Day","HEAR A BTR DAY 120",60,108,123891,0.0000333333333333333,26.0340833333333,0.000484296680146258
"647","DN","Western","July, 2017","Day","HABD REV 120 TEST",78,170,195264,0.000115384615384615,14.1361538461538,0.000399459193706981
"648","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",41,74,120826,0.00024390243902439,15.6876829268293,0.000339330938705246
"649","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",16,45,71805,0.00025,40.1996875,0.00022282570851612
"650","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",38,84,101278,0.0000789473684210526,16.9261842105263,0.000375204881612986
"651","CBL","Lifestyle","April, 2017","Day","HEAR A BTR DAY 120",23,68,77822,0.0000434782608695652,29.9625,0.000295546246562669
"652","CBL","Lifestyle","April, 2017","Day","HEAR A BTR DAY 120",43,108,121823,0.000209302325581395,16.0264534883721,0.00035297111382908
"653","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",25,60,94471,0.0002,27.5655,0.000264631474209017
"654","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",20,60,97649,0.0001,32.15975,0.000204815205480855
"655","DN","Military","May, 2017","Day","HEAR A BTR DAY 120",50,142,165072,0.00008,27.5655,0.000302898129301153
"656","DN","Military","May, 2017","Day","HEAR A BTR DAY 120",50,132,150955,0.00004,27.5655,0.000331224537113709
"657","DN","Military","May, 2017","Day","HEAR A BTR DAY 120",94,189,201748,0.000074468085106383,14.6625,0.000465927791105736
"658","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",142,212,252562,0.000112676056338028,24.5889436619718,0.000562238183099595
"659","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",207,291,340736,0.000106280193236715,16.8677777777778,0.00060750845229151
"660","CBL","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",142,175,192239,0.000140845070422535,19.412323943662,0.00073866385072748
"661","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",142,206,238119,0.0000704225352112676,19.412323943662,0.000596340485219575
"662","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",141,224,236596,0.0000780141843971631,19.55,0.000595952594295762
"663","CBL","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",126,188,229766,0.000158730158730159,21.877380952381,0.000548384008077784
"664","CBL","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",105,155,174833,0.0000476190476190476,26.2528571428571,0.000600573118347223
"665","CBL","News","February, 2017","Day","HEAR A BTR DAY 120",509,804,1035906,0.0000962671905697446,19.1351866404715,0.000491357323927074
"666","CBL","News","February, 2017","Day","HEAR A BTR DAY 120",370,565,670730,0.000127027027027027,21.1087162162162,0.000551637767805227
"667","CBL","News","March, 2017","Day","HEAR A BTR DAY 120",354,559,740610,0.000127118644067797,23.360593220339,0.000477984364240288
"668","CBL","News","March, 2017","Day","HEAR A BTR DAY 120",390,609,851952,0.000102564102564103,21.2042307692308,0.000457772268860217
"669","CBL","News","March, 2017","Day","HEAR A BTR DAY 120",358,633,803987,0.000053072625698324,21.8162709497207,0.000445280831655238
"670","CBL","News","March, 2017","Day","HEAR A BTR DAY 120",361,532,628901,0.0000581717451523546,21.634972299169,0.000574017214156123
"671","CBL","News","April, 2017","Day","HEAR A BTR DAY 120",337,536,686933,0.0000771513353115727,23.1757418397626,0.000490586418180521
"672","CBL","News","April, 2017","Day","HEAR A BTR DAY 120",302,506,647925,0.0000596026490066225,30.4254966887417,0.000466103329860709
"673","CBL","News","April, 2017","Day","HEAR A BTR DAY 120",279,491,636454,0.0000645161290322581,32.9336917562724,0.000438366323410647
"674","CBL","News","April, 2017","Day","HEAR A BTR DAY 120",248,405,560347,0.000133064516129032,40.014435483871,0.000442582899524759
"675","CBL","News","July, 2017","Day","HABD REV 120 TEST",390,612,798438,0.0000666666666666667,20.0262179487179,0.000488453705860693
"676","CBL","News","July, 2017","Day","HABD REV 120 TEST",367,577,752076,0.0000735694822888283,21.2812670299728,0.000487982597503444
"677","CBL","News","August, 2017","Day","HABD REV 120 TEST",313,554,693398,0.0000926517571884984,24.9527955271565,0.00045140020594233
"678","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",17,74,125324,0.000117647058823529,37.835,0.000135648399348888
"681","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",12,60,78634,0.00025,53.5995833333333,0.000152605743062797
"682","DN","Crime Drama","July, 2017","Day","HEAR A BETTER DAY 60",9,60,86141,0.000111111111111111,35.7330555555556,0.000104479864408354
"683","DN","Crime Drama","July, 2017","Day","HABD 60 TEST",39,101,136084,0.000205128205128205,8.24608974358974,0.000286587695834925
"684","DN","Movie","August, 2017","WE","HABD REV 120 TEST",53,142,158307,0.0000943396226415094,20.8041509433962,0.0003347925233881
"685","SY","Court","January, 2017","Day","HEAR A BTR DAY 120",623,1271,1738381,0.000162118780096308,47.1961476725522,0.00035837943465788
"686","SY","Court","January, 2017","Day","HEAR A BTR DAY 120",614,1235,1703426,0.000206840390879479,47.8879478827362,0.000360450057707232
"687","SY","Court","February, 2017","Day","HEAR A BTR DAY 120",635,1316,1780964,0.000137007874015748,46.3042519685039,0.0003565484759939
"688","SY","Court","February, 2017","Day","HEAR A BTR DAY 120",634,1272,1734510,0.00016403785488959,46.3772870662461,0.000365521098177583
"689","SY","Court","March, 2017","Day","HEAR A BTR DAY 120",664,1267,1662081,0.000125,44.2819277108434,0.000399499182049491
"690","SY","Court","March, 2017","Day","HEAR A BTR DAY 120",629,1188,1562544,0.000144674085850556,46.7459459459459,0.000402548664229615
"691","SY","Court","March, 2017","Day","HEAR A BTR DAY 120",621,1198,1610636,0.000138486312399356,41.4296296296296,0.000385561976759491
"692","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",20,58,127524,0.0002,34.456875,0.000156833223550077
"693","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",29,66,73073,0.000206896551724138,23.7633620689655,0.000396863410562041
"694","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",17,62,110061,0.000352941176470588,40.5375,0.000154459799565695
"696","DN","Western","December, 2016","Day","HEAR A BTR DAY 120",104,187,226842,0.0000192307692307692,8.83509615384615,0.000458468890240784
"697","DN","Western","December, 2016","Day","HEAR A BTR DAY 120",123,191,224576,0.000032520325203252,7.47032520325203,0.000547698774579652
"698","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",68,175,204907,0.000117647058823529,16.215,0.000331857867227572
